"Ambiente","Stage","Tipologia UH","Módulo Montagem","WBS","WBS Detail","WBS Detail Instance","WBS Instance"
"Amenities","Pre-Fab","A1L","Underground","101","1st","01","10.01"
"AC/WH Closet","Job Site","A1L UFAS","Colgante","102","2nd","02","10.02"
"M.bath","","A1R","Rough","103","3rd","03","10.03"
"Washer","","A1R UFAS","Riser","104","4th","04","10.04"
"Closet","","B1L","","105","5th","05","10.05"
"C.A.","","B1L UFAS","","106","","06","10.06"
"Colgante 1 st","","B1R","","107","","07",""
"Closet/Kitchen","","B1R UFAS","","108","","08",""
"Roof Drain","","C1L","","109","","09",""
"Kitchen","","C1L UFAS","","110","","10",""
"Closet","","C1R","","111","","11",""
"Laundry","","C1R UFAS","","201","","12",""
"Closet/Kitchen","","C2L","","202","","13",""
"FIRE/DOM","","C2R","","203","","14",""
"Service Storage","","C.A.","","204","","15",""
"Trash Room","","","","205","","16",""
"","","","","206","","17",""
"","","","","207","","18",""
"","","","","208","","19",""
"","","","","209","","20",""
"","","","","210","","",""
"","","","","211","","",""
"","","","","212","","",""
"","","","","213","","",""
"","","","","214","","",""
"","","","","215","","",""
"","","","","216","","",""
"","","","","217","","",""
"","","","","218","","",""
"","","","","219","","",""
"","","","","220","","",""
"","","","","221","","",""
"","","","","301","","",""
"","","","","312","","",""
"","","","","313","","",""
"","","","","314","","",""
"","","","","315","","",""
"","","","","316","","",""
"","","","","317","","",""
"","","","","318","","",""
"","","","","319","","",""
"","","","","320","","",""
"","","","","321","","",""
"","","","","101","","",""
"","","","","102","","",""
"","","","","104","","",""
"","","","","105","","",""
"","","","","107","","",""
"","","","","108","","",""
"","","","","109","","",""
"","","","","110","","",""
"","","","","201","","",""
"","","","","202","","",""
"","","","","203","","",""
"","","","","204","","",""
"","","","","205","","",""
"","","","","206","","",""
"","","","","207","","",""
"","","","","208","","",""
"","","","","209","","",""
"","","","","210","","",""
"","","","","301","","",""
"","","","","302","","",""
"","","","","303","","",""
"","","","","304","","",""
"","","","","305","","",""
"","","","","306","","",""
"","","","","307","","",""
"","","","","308","","",""
"","","","","309","","",""
"","","","","310","","",""
"","","","","401","","",""
"","","","","402","","",""
"","","","","403","","",""
"","","","","404","","",""
"","","","","405","","",""
"","","","","406","","",""
"","","","","407","","",""
"","","","","408","","",""
"","","","","409","","",""
"","","","","410","","",""
"","","","","101","","",""
"","","","","102","","",""
"","","","","108","","",""
"","","","","109","","",""
"","","","","110","","",""
"","","","","111","","",""
"","","","","112","","",""
"","","","","201","","",""
"","","","","202","","",""
"","","","","203","","",""
"","","","","204","","",""
"","","","","205","","",""
"","","","","206","","",""
"","","","","207","","",""
"","","","","208","","",""
"","","","","209","","",""
"","","","","210","","",""
"","","","","211","","",""
"","","","","212","","",""
"","","","","301","","",""
"","","","","302","","",""
"","","","","303","","",""
"","","","","304","","",""
"","","","","305","","",""
"","","","","306","","",""
"","","","","307","","",""
"","","","","308","","",""
"","","","","309","","",""
"","","","","310","","",""
"","","","","311","","",""
"","","","","312","","",""
"","","","","401","","",""
"","","","","402","","",""
"","","","","403","","",""
"","","","","404","","",""
"","","","","405","","",""
"","","","","406","","",""
"","","","","407","","",""
"","","","","408","","",""
"","","","","409","","",""
"","","","","410","","",""
"","","","","411","","",""
"","","","","412","","",""
"","","","","101","","",""
"","","","","102","","",""
"","","","","104","","",""
"","","","","105","","",""
"","","","","107","","",""
"","","","","108","","",""
"","","","","109","","",""
"","","","","110","","",""
"","","","","201","","",""
"","","","","202","","",""
"","","","","203","","",""
"","","","","204","","",""
"","","","","205","","",""
"","","","","206","","",""
"","","","","207","","",""
"","","","","208","","",""
"","","","","209","","",""
"","","","","210","","",""
"","","","","301","","",""
"","","","","302","","",""
"","","","","303","","",""
"","","","","304","","",""
"","","","","305","","",""
"","","","","306","","",""
"","","","","307","","",""
"","","","","308","","",""
"","","","","309","","",""
"","","","","310","","",""
"","","","","401","","",""
"","","","","402","","",""
"","","","","403","","",""
"","","","","404","","",""
"","","","","405","","",""
"","","","","406","","",""
"","","","","407","","",""
"","","","","408","","",""
"","","","","409","","",""
"","","","","410","","",""
"Distribution","","","","","","",""
"","","","","C.A.","","",""
"","","","","","","C.A.",""
"","","B2R","","","","",""
"Trap Primer","","","","","","",""
"Janitor Sink","","","","","","",""
"","","","","","","21",""
"Lobby","","","","","","",""
"ADA WC","","","","","","",""
"Community Room","","","","","","",""
"Men's-Ada","","","","","","",""
"Womens's-Ada","","","","","","",""
"MS","","","","","","",""
"","","","","","","Pex",""
"Kitchen/M bath","","","","","","",""
"","","","Pre-Fab","","","",""
"","19","","","","","",""
"","","","","","WS","",""
"DEM","","","","","","",""
